dataset,status,error,test_score,validation_score,metadata_classes,metadata_dataset,metadata_first_class,metadata_length_consistent,metadata_n_channels,metadata_n_classes,metadata_series_length,metadata_test_size,metadata_train_size,best_params_bootstrap,best_params_ccp_alpha,best_params_criterion,best_params_max_depth,best_params_max_features,best_params_max_leaf_nodes,best_params_max_samples,best_params_min_impurity_decrease,best_params_min_samples_leaf,best_params_min_samples_split,best_params_n_estimators,forest_statistics_avg_depth,forest_statistics_avg_leaves,forest_statistics_avg_nodes,forest_statistics_max_depth,forest_statistics_min_depth,forest_statistics_n_estimators
Adiac,optimized,,0.5268542199488491,0.5666666666666667,1|10|11|12|13|14|15|16|17|18|19|2|20|21|22|23|24|25|26|27|28|29|3|30|31|32|33|34|35|36|37|4|5|6|7|8|9,Adiac,1,True,1,37,176,391,390,True,0.05,entropy,50,sqrt,20,0.5,0.05764236828487212,1,9,135,5.548148148148148,19.977777777777778,38.955555555555556,7,5,135
ArrowHead,optimized,,0.6457142857142857,0.7749999999999999,0|1|2,ArrowHead,0,True,1,3,251,175,36,True,0.05,gini,2,,10,,0.0,5,10,300,1.99,3.0033333333333334,5.006666666666667,2,1,300
Beef,optimized,,0.8,0.5666666666666667,1|2|3|4|5,Beef,1,True,1,5,470,30,30,True,0.013164426601448578,gini,4,log2,30,,0.010897967867580764,1,4,299,3.9765886287625416,6.210702341137123,11.421404682274247,4,3,299
BeetleFly,optimized,,0.85,0.65,1|2,BeetleFly,1,True,1,2,512,20,20,True,0.0007777000306666894,gini,4,log2,50,0.5,0.060429478462288834,4,2,26,0.6923076923076923,1.6923076923076923,2.3846153846153846,1,0,26
BirdChicken,optimized,,0.5,0.85,1|2,BirdChicken,1,True,1,2,512,20,20,True,0.0350310722310683,entropy,22,log2,10,,0.03706854876627044,6,5,233,0.8755364806866953,1.8755364806866952,2.7510729613733904,1,0,233
CBF,optimized,,0.9033333333333333,0.9333333333333333,1|2|3,CBF,1,True,1,3,128,900,30,True,0.05,gini,44,log2,10,,0.0,1,3,300,3.046666666666667,4.76,8.52,5,2,300
Car,optimized,,0.6333333333333333,0.75,1|2|3|4,Car,1,True,1,4,577,60,60,True,0.003670463707433062,entropy,50,sqrt,10,,0.1,1,8,300,3.493333333333333,6.216666666666667,11.433333333333334,6,2,300
ChlorineConcentration,optimized,,0.7075520833333333,0.7169755204758637,1|2|3,ChlorineConcentration,1,True,1,3,166,3840,467,True,0.0,entropy,24,,50,,0.00917428765033444,1,8,10,15.1,39.4,77.8,17,11,10
CinCECGTorso,optimized,,0.553623188405797,0.575,1|2|3|4,CinCECGTorso,1,True,1,4,1639,1380,40,True,0.03681796091408731,entropy,5,,10,,0.0901169589254815,3,12,245,2.559183673469388,3.5918367346938775,6.183673469387755,4,2,245
Coffee,optimized,,1.0,1.0,0|1,Coffee,0,True,1,2,286,28,28,True,0.0350310722310683,entropy,22,log2,10,,0.03706854876627044,6,5,233,1.145922746781116,2.1459227467811157,3.291845493562232,2,1,233
Computers,optimized,,0.656,0.6279999999999999,1|2,Computers,1,True,1,2,720,250,250,True,0.05,entropy,50,sqrt,,0.7,0.1,10,20,300,0.7433333333333333,1.7433333333333334,2.486666666666667,2,0,300
